data,liczba_wzmianek,sredni_tone,zrodlo
2016-05-02,1394,-0.8886786722768618,gdelt_gkg_strong
2016-05-03,832,-0.8777305282166274,gdelt_gkg_strong
2016-05-04,395,-0.8073210310887362,gdelt_gkg_strong
2016-05-05,501,-0.7274532807163284,gdelt_gkg_strong
2016-05-06,414,-0.7221964460408414,gdelt_gkg_strong
2016-05-07,190,-2.3566917482295984,gdelt_gkg_strong
2016-05-08,128,-0.8310774630007993,gdelt_gkg_strong
2016-05-09,205,-1.2806683337099993,gdelt_gkg_strong
2016-05-10,203,0.06852738191583238,gdelt_gkg_strong
2016-05-11,213,0.6675279079227191,gdelt_gkg_strong
2016-05-12,169,0.32801985093160474,gdelt_gkg_strong
2016-05-13,149,-0.5800436256107918,gdelt_gkg_strong
2016-05-14,72,-0.39194718698626374,gdelt_gkg_strong
2016-05-15,55,-0.2386625547146778,gdelt_gkg_strong
2016-05-16,106,-0.17719221460708615,gdelt_gkg_strong
2016-05-17,174,0.4029674991752893,gdelt_gkg_strong
2016-05-18,288,-0.889711299615483,gdelt_gkg_strong
2016-05-19,204,-0.9597328301058808,gdelt_gkg_strong
2016-05-20,175,-0.8970052942962223,gdelt_gkg_strong
2016-05-21,72,0.2637546342172602,gdelt_gkg_strong
2016-05-22,71,-0.39629554739488493,gdelt_gkg_strong
2016-05-23,150,-0.13745079875749686,gdelt_gkg_strong
2016-05-24,179,-0.5562428193717419,gdelt_gkg_strong
2016-05-25,186,-0.6163376713111087,gdelt_gkg_strong
2016-05-26,186,-1.355401946451292,gdelt_gkg_strong
2016-05-27,159,-0.8665526857351936,gdelt_gkg_strong
2016-05-28,57,-0.34197024396970466,gdelt_gkg_strong
2016-05-29,106,-0.1833242701164723,gdelt_gkg_strong
2016-05-30,288,-0.830927547164432,gdelt_gkg_strong
2016-05-31,349,-1.4340039462627674,gdelt_gkg_strong
2016-06-01,247,-1.5543390573812543,gdelt_gkg_strong
2016-06-02,167,-1.5680805167545402,gdelt_gkg_strong
2016-06-03,148,-1.0840511335223273,gdelt_gkg_strong
2016-06-04,92,-1.6141575354909354,gdelt_gkg_strong
2016-06-05,66,-0.2401956413566593,gdelt_gkg_strong
2016-06-06,286,-2.382018598571982,gdelt_gkg_strong
2016-06-07,227,-1.2080808195099304,gdelt_gkg_strong
2016-06-08,180,-0.8889162913946349,gdelt_gkg_strong
2016-06-09,254,-1.9227807001179156,gdelt_gkg_strong
2016-06-10,223,-2.8808002603022254,gdelt_gkg_strong
2016-06-11,58,-0.8195254156433985,gdelt_gkg_strong
2016-06-12,44,-0.8215313551067105,gdelt_gkg_strong
2016-06-13,252,-0.5367290801790726,gdelt_gkg_strong
2016-06-14,347,-0.5921652128542811,gdelt_gkg_strong
2016-06-15,225,-0.685263099200993,gdelt_gkg_strong
2016-06-16,205,-0.2538744930964983,gdelt_gkg_strong
2016-06-17,220,-0.9958765629206957,gdelt_gkg_strong
2016-06-18,141,-2.20167413130062,gdelt_gkg_strong
2016-06-19,72,-0.9036539852827139,gdelt_gkg_strong
2016-06-20,191,-0.7633389313947013,gdelt_gkg_strong
2016-06-21,197,-0.26688329291646307,gdelt_gkg_strong
2016-06-22,155,-1.0235642947392292,gdelt_gkg_strong
2016-06-23,260,-0.4607221484380893,gdelt_gkg_strong
2016-06-24,314,0.1924814795891571,gdelt_gkg_strong
2016-06-25,84,-0.7805609269390743,gdelt_gkg_strong
2016-06-26,58,-0.4925753330835397,gdelt_gkg_strong
2016-06-27,173,-0.3671380782709871,gdelt_gkg_strong
2016-06-28,194,-0.46351429759350055,gdelt_gkg_strong
2016-06-29,170,-0.1837629203615352,gdelt_gkg_strong
2016-06-30,127,0.43566597364136317,gdelt_gkg_strong
2016-07-01,120,-0.6445661125613847,gdelt_gkg_strong
2016-12-05,173,-1.5472621298730924,gdelt_gkg_strong
2016-12-06,204,-1.7264580037269361,gdelt_gkg_strong
2016-12-07,206,-0.6057006020609795,gdelt_gkg_strong
2016-12-08,292,-0.4805299171573035,gdelt_gkg_strong
2016-12-09,231,-0.8129146460225872,gdelt_gkg_strong
2016-12-10,173,-1.0090022446504936,gdelt_gkg_strong
2016-12-11,157,-0.7007619523661991,gdelt_gkg_strong
2016-12-12,159,-1.19557896608996,gdelt_gkg_strong
2016-12-13,245,-1.9592782851187038,gdelt_gkg_strong
2016-12-14,160,-1.1223974600131814,gdelt_gkg_strong
2016-12-15,182,-1.8418979903956993,gdelt_gkg_strong
2016-12-16,272,-0.30383607960990267,gdelt_gkg_strong
2016-12-17,741,1.6551456761499928,gdelt_gkg_strong
2016-12-18,70,-1.1678846940859144,gdelt_gkg_strong
2016-12-19,153,-0.5554462748005867,gdelt_gkg_strong
2016-12-20,179,-1.0695915967999474,gdelt_gkg_strong
2016-12-21,219,-0.8014309278856255,gdelt_gkg_strong
2016-12-22,196,-0.48752836193094573,gdelt_gkg_strong
2016-12-23,180,-0.31473039457009006,gdelt_gkg_strong
2016-12-24,75,-1.0214543369006306,gdelt_gkg_strong
2016-12-25,65,-0.8332069567626871,gdelt_gkg_strong
2016-12-26,97,-0.5746981949286617,gdelt_gkg_strong
2016-12-27,155,-0.6409713423877041,gdelt_gkg_strong
2016-12-28,208,-1.0083633895804478,gdelt_gkg_strong
2016-12-29,180,-1.5071050142445905,gdelt_gkg_strong
2016-12-30,136,-1.1111897834818425,gdelt_gkg_strong
2016-12-31,157,-0.9246798185113964,gdelt_gkg_strong
2017-01-01,320,-1.2526124417743387,gdelt_gkg_strong
2017-01-02,254,-0.7743148212527793,gdelt_gkg_strong
2017-01-03,340,-1.0450535586694294,gdelt_gkg_strong
2017-01-04,352,-1.292546811214227,gdelt_gkg_strong
2017-01-05,362,-0.9940837743544518,gdelt_gkg_strong
2017-01-06,352,-1.2396724966938804,gdelt_gkg_strong
2017-01-07,147,-1.6288382747083872,gdelt_gkg_strong
2017-01-08,99,-0.7632420782244633,gdelt_gkg_strong
2017-01-09,334,-1.8295903605542458,gdelt_gkg_strong
2017-01-10,256,-1.665179899383654,gdelt_gkg_strong
2017-01-11,294,-1.1339777557210926,gdelt_gkg_strong
2017-01-12,312,-1.225243098380302,gdelt_gkg_strong
2017-01-13,241,-1.2382106704962224,gdelt_gkg_strong
2017-01-14,99,-1.8091524267010588,gdelt_gkg_strong
2017-01-15,128,-1.500289868156863,gdelt_gkg_strong
2017-01-16,214,-1.3648378943241724,gdelt_gkg_strong
2017-01-17,292,-1.572210547899249,gdelt_gkg_strong
2017-01-18,264,-1.4136542028722203,gdelt_gkg_strong
2017-01-19,256,-0.7598567554429151,gdelt_gkg_strong
2017-01-20,169,-0.8168286963887252,gdelt_gkg_strong
2017-01-21,78,-0.3766043706000751,gdelt_gkg_strong
2017-01-22,65,-0.5565523201219966,gdelt_gkg_strong
2017-01-23,212,-1.2749002518986225,gdelt_gkg_strong
2017-01-24,267,-0.728353891006588,gdelt_gkg_strong
2017-01-25,215,-1.039657104885461,gdelt_gkg_strong
2017-01-26,213,-0.29777567793246734,gdelt_gkg_strong
2017-01-27,243,-1.4068446979185345,gdelt_gkg_strong
2017-01-28,89,-1.095970565513846,gdelt_gkg_strong
2017-01-29,102,-1.2261931317831252,gdelt_gkg_strong
2017-01-30,224,-1.3914191526865178,gdelt_gkg_strong
2017-01-31,238,-1.3484687104860729,gdelt_gkg_strong
2017-02-01,165,-1.182980573989211,gdelt_gkg_strong
2017-02-02,213,-0.4875100170302349,gdelt_gkg_strong
2017-02-03,176,-0.7228919123712649,gdelt_gkg_strong
2017-06-20,229,-0.6208078657454055,gdelt_gkg_strong
2017-06-21,228,-0.19791103100678828,gdelt_gkg_strong
2017-06-22,447,-0.8671452392752224,gdelt_gkg_strong
2017-06-23,192,-0.30032793753430864,gdelt_gkg_strong
2017-06-24,86,-1.065563141710614,gdelt_gkg_strong
2017-06-25,64,-1.6116241097538213,gdelt_gkg_strong
2017-06-26,211,-0.09729299220243749,gdelt_gkg_strong
2017-06-27,781,-3.622518858041708,gdelt_gkg_strong
2017-06-28,1315,-4.107886805275517,gdelt_gkg_strong
2017-06-29,565,-3.157915885155218,gdelt_gkg_strong
2017-06-30,375,-3.4833656440615903,gdelt_gkg_strong
2017-07-01,177,-1.3883756928802387,gdelt_gkg_strong
2017-07-02,140,-1.0076969929910047,gdelt_gkg_strong
2017-07-03,274,-1.02948893806609,gdelt_gkg_strong
2017-07-04,182,-0.6364766327119362,gdelt_gkg_strong
2017-07-05,315,-3.3031121196880013,gdelt_gkg_strong
2017-07-06,279,-2.5924643874704083,gdelt_gkg_strong
2017-07-07,251,-1.229932216829843,gdelt_gkg_strong
2017-07-08,105,-1.2237643994882144,gdelt_gkg_strong
2017-07-09,78,-2.154173723899998,gdelt_gkg_strong
2017-07-10,236,-2.264476920388903,gdelt_gkg_strong
2017-07-11,459,-3.469447319118009,gdelt_gkg_strong
2017-07-12,319,-0.4608451609769077,gdelt_gkg_strong
2017-07-13,258,-0.7462555709581974,gdelt_gkg_strong
2017-07-14,297,-1.5573956824883326,gdelt_gkg_strong
2017-07-15,119,-1.5269732122646753,gdelt_gkg_strong
2017-07-16,124,-1.139570600615131,gdelt_gkg_strong
2017-07-17,210,-0.6106827276226712,gdelt_gkg_strong
2017-07-18,218,-0.7728968273240127,gdelt_gkg_strong
2017-07-19,235,-0.6678512018186119,gdelt_gkg_strong
2017-07-20,343,-1.8726122883702385,gdelt_gkg_strong
2017-07-21,290,-1.5760988317816322,gdelt_gkg_strong
2017-07-22,193,-0.6323363506978654,gdelt_gkg_strong
2017-07-23,168,-0.48282553862723365,gdelt_gkg_strong
2017-07-24,696,-0.9076922562332062,gdelt_gkg_strong
2017-07-25,385,-0.3194271542238674,gdelt_gkg_strong
2017-07-26,466,-1.3472812130056946,gdelt_gkg_strong
2017-07-27,468,-1.9869440536661909,gdelt_gkg_strong
2017-07-28,330,-1.7118439866616564,gdelt_gkg_strong
2017-07-29,175,-1.156378724579146,gdelt_gkg_strong
2017-07-30,114,-0.6107949222787111,gdelt_gkg_strong
2017-07-31,258,-0.5173584118552911,gdelt_gkg_strong
2017-08-01,407,-0.43541928013856696,gdelt_gkg_strong
2017-08-02,411,-0.35386601803398093,gdelt_gkg_strong
2017-08-03,337,-1.3996533565484857,gdelt_gkg_strong
2017-08-04,324,-2.144465359164765,gdelt_gkg_strong
2017-08-05,158,-2.0159488874800062,gdelt_gkg_strong
2017-08-06,130,-2.0912342682338565,gdelt_gkg_strong
2017-08-07,343,-1.2462448288895969,gdelt_gkg_strong
2017-08-08,346,-0.822397590535277,gdelt_gkg_strong
2017-08-09,326,-0.48017270146161894,gdelt_gkg_strong
2017-08-10,287,-0.29175152009895244,gdelt_gkg_strong
2017-08-11,293,-0.549075695011706,gdelt_gkg_strong
2017-08-12,113,-0.7657542309735282,gdelt_gkg_strong
2017-08-13,95,-0.8556437042366736,gdelt_gkg_strong
2017-08-14,352,-0.5628086704511692,gdelt_gkg_strong
2017-08-15,317,-0.125238166533703,gdelt_gkg_strong
2017-08-16,365,-0.16479406787674927,gdelt_gkg_strong
2017-08-17,467,-0.5418135514042767,gdelt_gkg_strong
2017-08-18,293,-0.6667730538417198,gdelt_gkg_strong
2017-08-19,145,-0.9705970257850484,gdelt_gkg_strong
2017-08-20,118,-0.48960846142407094,gdelt_gkg_strong
2017-08-21,308,-0.2176561748780784,gdelt_gkg_strong
2017-08-22,381,-0.18481818356650528,gdelt_gkg_strong
2017-08-23,283,-0.1411310002784725,gdelt_gkg_strong
2017-08-24,316,-0.550959203167017,gdelt_gkg_strong
2017-08-25,258,-0.9870320253988729,gdelt_gkg_strong
2017-08-26,114,-0.5150234303262569,gdelt_gkg_strong
2017-08-27,79,0.059061336541800895,gdelt_gkg_strong
2017-08-28,229,0.17683755836860077,gdelt_gkg_strong
2017-08-29,322,0.10663925627705535,gdelt_gkg_strong
2017-08-30,359,-0.07732357988208913,gdelt_gkg_strong
2017-08-31,317,-0.4813206563088801,gdelt_gkg_strong
2017-09-01,325,0.04345087283704862,gdelt_gkg_strong
2017-09-02,226,-0.8879969201284572,gdelt_gkg_strong
2017-09-03,187,-0.799827289400555,gdelt_gkg_strong
2017-09-04,415,-0.6774168101756017,gdelt_gkg_strong
2017-09-05,557,-1.3368752946808706,gdelt_gkg_strong
2017-09-06,503,-0.008087384148937574,gdelt_gkg_strong
2017-09-07,386,-0.4114853114392511,gdelt_gkg_strong
2017-09-08,430,-1.0871949647423975,gdelt_gkg_strong
2017-09-09,210,-0.9746568783130249,gdelt_gkg_strong
2017-09-10,143,-1.040574020892773,gdelt_gkg_strong
2017-09-11,485,-1.3320219048225874,gdelt_gkg_strong
2017-09-12,668,-1.625350126305106,gdelt_gkg_strong
2017-09-13,747,-1.5750407905447559,gdelt_gkg_strong
2017-09-14,628,-1.479790019333554,gdelt_gkg_strong
2017-09-15,784,-1.7187649028301886,gdelt_gkg_strong
2017-09-16,252,-1.5258967549343425,gdelt_gkg_strong
2017-09-17,268,-1.1215706050503977,gdelt_gkg_strong
2017-09-18,554,-0.6339833110892501,gdelt_gkg_strong
2017-09-19,652,-1.7641673330443557,gdelt_gkg_strong
2017-09-20,415,-0.8714500210074587,gdelt_gkg_strong
2017-09-21,424,-0.25916451031206195,gdelt_gkg_strong
2017-09-22,390,-1.4271975754896102,gdelt_gkg_strong
2017-09-23,194,-0.5987889878731999,gdelt_gkg_strong
2017-09-24,159,0.10987374823405713,gdelt_gkg_strong
2017-09-25,357,-0.7440521855377766,gdelt_gkg_strong
2017-09-26,419,-0.6236891122590146,gdelt_gkg_strong
2017-09-27,508,-0.5702772260979343,gdelt_gkg_strong
2017-09-28,491,-0.25648514485455776,gdelt_gkg_strong
2017-09-29,636,-2.2815693285840912,gdelt_gkg_strong
2017-09-30,247,-1.445428755076653,gdelt_gkg_strong
2017-10-01,200,-1.5932628234381376,gdelt_gkg_strong
2017-10-02,378,-0.750701333112572,gdelt_gkg_strong
2017-10-03,446,0.05790673468286099,gdelt_gkg_strong
2017-10-04,482,-1.6023372177320572,gdelt_gkg_strong
2017-10-05,344,-0.5319433911725706,gdelt_gkg_strong
2017-10-06,405,-0.39994086800438006,gdelt_gkg_strong
2017-10-07,191,-0.3571909974354943,gdelt_gkg_strong
2017-10-08,151,0.03267892043424564,gdelt_gkg_strong
2017-10-09,318,-0.27692237008051657,gdelt_gkg_strong
2017-10-10,474,-0.7046519708626564,gdelt_gkg_strong
2017-10-11,540,-1.3328047111950425,gdelt_gkg_strong
2017-10-12,569,-0.6381064824861613,gdelt_gkg_strong
2017-10-13,720,-0.3834606542621685,gdelt_gkg_strong
2017-10-14,177,-0.0001708250285444725,gdelt_gkg_strong
2017-10-15,190,-0.576489444607611,gdelt_gkg_strong
2017-10-16,462,-0.4208960466580822,gdelt_gkg_strong
2017-10-17,554,-1.1354942102623464,gdelt_gkg_strong
2017-10-18,518,-0.9325552733599767,gdelt_gkg_strong
2017-11-07,540,-0.189039022862912,gdelt_gkg_strong
2017-11-08,656,-0.7818262100573506,gdelt_gkg_strong
2017-11-09,578,-0.7408381075440518,gdelt_gkg_strong
2017-11-10,431,-0.860088746099794,gdelt_gkg_strong
2017-11-11,180,-0.7835874462142404,gdelt_gkg_strong
2017-11-12,130,-0.9325243871211186,gdelt_gkg_strong
2017-11-13,671,-1.4301464953230616,gdelt_gkg_strong
2017-11-14,502,-0.35225791367575265,gdelt_gkg_strong
2017-11-15,650,-0.6973155269556167,gdelt_gkg_strong
2017-11-16,568,-0.32296884385010743,gdelt_gkg_strong
2017-11-17,605,-0.7206369250140814,gdelt_gkg_strong
2017-11-18,197,-0.7940140227366302,gdelt_gkg_strong
2017-11-19,186,-0.49268134050527584,gdelt_gkg_strong
2017-11-20,611,-0.1802010086861358,gdelt_gkg_strong
2017-11-21,673,-0.2446380726973977,gdelt_gkg_strong
2017-11-22,714,-0.8531902161889727,gdelt_gkg_strong
2017-11-23,487,0.14742043255815304,gdelt_gkg_strong
2017-11-24,345,-0.0019457874939107413,gdelt_gkg_strong
2017-11-25,179,-0.21225641486562882,gdelt_gkg_strong
2017-11-26,434,-0.2757252300053797,gdelt_gkg_strong
2017-11-27,955,-0.31638176978728155,gdelt_gkg_strong
2017-11-28,1025,-0.5254982880578924,gdelt_gkg_strong
2017-11-29,1845,-0.6871947307583728,gdelt_gkg_strong
2017-11-30,1460,-0.8465859252485208,gdelt_gkg_strong
2017-12-01,1294,-1.0328448498919518,gdelt_gkg_strong
2017-12-02,584,-1.033634604776167,gdelt_gkg_strong
2017-12-03,484,-0.8724074497728718,gdelt_gkg_strong
2017-12-04,1459,-1.0078071312680759,gdelt_gkg_strong
2017-12-05,1031,-0.7755239899154521,gdelt_gkg_strong
2017-12-06,1529,-1.4264536151561558,gdelt_gkg_strong
2017-12-07,2304,-1.3270469480707783,gdelt_gkg_strong
2017-12-08,2322,-1.173580456600339,gdelt_gkg_strong
2017-12-09,682,-1.0786200621441764,gdelt_gkg_strong
2017-12-10,717,-0.8768262045448809,gdelt_gkg_strong
2017-12-11,2690,-0.9192266888794938,gdelt_gkg_strong
2017-12-12,1969,-0.6682892517606959,gdelt_gkg_strong
2017-12-13,2222,-1.1989670333652087,gdelt_gkg_strong
2017-12-14,1517,-1.0448440818182174,gdelt_gkg_strong
2017-12-15,2003,-1.838750525998004,gdelt_gkg_strong
2017-12-16,631,-1.477122120035477,gdelt_gkg_strong
2017-12-17,486,-0.9253123314682644,gdelt_gkg_strong
2017-12-18,1359,-0.7506129817002167,gdelt_gkg_strong
2017-12-19,1910,-2.099733489059403,gdelt_gkg_strong
2017-12-20,1696,-1.6181944130239465,gdelt_gkg_strong
2017-12-21,1550,-0.9911454340029493,gdelt_gkg_strong
2017-12-22,2011,-1.1754112731266608,gdelt_gkg_strong
2017-12-23,778,-1.280017142864537,gdelt_gkg_strong
2017-12-24,530,-1.3216979245796687,gdelt_gkg_strong
2017-12-25,420,-1.0630183077626953,gdelt_gkg_strong
2017-12-26,1000,-0.8203833116438264,gdelt_gkg_strong
2017-12-27,1267,-0.7550280662416851,gdelt_gkg_strong
2017-12-28,1627,-1.355279259416948,gdelt_gkg_strong
2017-12-29,1417,-1.47107302452394,gdelt_gkg_strong
2017-12-30,560,-1.2526247730263325,gdelt_gkg_strong
2017-12-31,418,-1.1612507471216684,gdelt_gkg_strong
2018-01-01,492,-1.0726223902167566,gdelt_gkg_strong
2018-01-02,1307,-0.8616437221042395,gdelt_gkg_strong
2018-01-03,1351,-0.5162189577164737,gdelt_gkg_strong
2018-01-04,1260,-0.8144141947399759,gdelt_gkg_strong
2018-01-05,966,-0.6908870746579782,gdelt_gkg_strong
2018-01-06,512,-0.9398129847643619,gdelt_gkg_strong
2019-03-04,304,-0.22991796931621208,gdelt_gkg_strong
2019-03-05,335,-0.23634209741560655,gdelt_gkg_strong
2019-03-06,323,-0.07803292462424533,gdelt_gkg_strong
2019-03-07,393,-0.032304650914402544,gdelt_gkg_strong
2019-03-08,337,-0.979537515702777,gdelt_gkg_strong
2019-03-09,180,-1.2733096769543026,gdelt_gkg_strong
2019-03-10,119,-1.0642880872751697,gdelt_gkg_strong
2019-03-11,398,-0.3217498794433047,gdelt_gkg_strong
2019-03-12,410,-0.7608942342423914,gdelt_gkg_strong
2019-03-13,356,-1.1177580113718242,gdelt_gkg_strong
2019-03-14,315,-0.8080547694213759,gdelt_gkg_strong
2019-03-15,422,-1.9920249027004917,gdelt_gkg_strong
2019-03-16,217,-2.0104178734339118,gdelt_gkg_strong
2019-03-17,210,-2.650451813223776,gdelt_gkg_strong
2019-03-18,318,-0.17526397563499863,gdelt_gkg_strong
